"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2012.43,377409.6,21.13,-2.38,0.00611339,0.25,-7034.7,-5.1,2.02678,5.45,7.25,7.14,0.95,6.9
2012.42,378153.2,21.13,-2.38,0.00611339,0.25,-7034.7,-5.1,2.03272,5.45,7.25,7.14,0.95,6.9
2012.41,378248.25,21.13,-2.38,0.00611339,0.25,-7034.7,-5.1,2.034925,5.45,7.35714285714286,7.3275,0.95,6.9
2012.4,378696.4,21.13,-2.38,0.00611339,0.25,-7034.7,-5.1,2.02524,5.45,7.5,7.39,0.95,6.9
2012.39,378662.8,21.29,-0.24,0.00538995,0.25,-4811.4,15.5,2.02964,5.28,7.5,7.39,0.69,7.07
2012.38,378717.2,21.29,-0.24,0.00538995,0.25,-4811.4,15.5,2.0265,5.28,7.5,7.39,0.69,7.07
2012.37,378606.8,21.29,-0.24,0.00538995,0.25,-4811.4,15.5,2.0207,5.28,7.5,7.39,0.69,7.07
2012.36,377270,21.29,-0.24,0.00538995,0.25,-4811.4,15.5,2.037325,5.28,7.5,7.39,0.69,7.07
2012.35,376736.4,21.29,-0.24,0.00538995,0.25,-4811.4,15.5,2.0424,5.28,7.71428571428571,7.69,0.69,7.07
2012.34,375935.8,21.36,-0.28,0.00691811,0.25,-4129,62.6,2.02176,5.24,8,7.89,0.94,7.3
2012.33,375332.8,21.36,-0.28,0.00691811,0.25,-4129,62.6,2.02308,5.24,8,7.89,0.94,7.3
2012.32,375694,21.36,-0.28,0.00691811,0.25,-4129,62.6,2.0238,5.24,8,7.89,0.94,7.3
